input,output
"의사 선생님, 저는 잦은 구토와 대변을 보는 데 어려움을 겪고 있습니다. 또한 소량의 음식을 먹은 후에도 포만감을 느낍니다.","증상으로 보아 유문 협착증이 있는 것 같습니다. 진단을 확인하기 위해 몇 가지 의학적 검사를 실시해야 합니다. 먼저 방사선 영상 촬영, 전혈구 수(CBC) 및 신장 기능에 대한 혈액 검사를 주문할 것입니다. 또한 전해질 패널과 포도당 수치를 확인하고 정맥 주사로 수액을 보충해야 합니다. 환자분 네, 의사 선생님. 필요한 의료 검사를 설명해 주셔서 감사합니다. 방사선 촬영 절차부터 시작해도 될까요?"
"선생님, 입안에 통증이 있고 침샘이 부어있는 것 같습니다. 침샘 장애가 있는 것 같아요.","귀하의 상태를 진단하기 위해서는 완전한 신체 피부 검사, 면담, 평가 및 상담을 수행해야 합니다. 또한 감염된 부위를 검사하기 위해 생검 또는 절제를 실시해야 할 수도 있습니다. 코, 입, 인두에 대한 진단 절차도 필요할 수 있습니다. 또한 헤모글로빈 A1c를 측정하여 당뇨병과 관련된 잠재적인 합병증이 있는지 확인해야 합니다. 또한 물리 치료 운동이 증상 관리에 도움이 될 수 있습니다."
"안녕하세요 의사 선생님, 저는 관절에 심한 통증과 목과 허리가 뻣뻣한 증상을 겪고 있습니다. 또한 팔과 다리가 저리고 따끔거리는 감각도 느껴집니다. ","귀하의 증상에 따라 몇 가지 의학적 검사를 실시해야 합니다. 먼저 일반 엑스레이와 방사선 촬영을 통해 관절과 척추를 자세히 살펴볼 것입니다. 그 후 통증과 뻣뻣함을 완화하는 데 도움이 되는 물리 치료 운동을 추천합니다. 또한 전반적인 건강 상태를 평가하기 위해 발을 검사하고 면담 및 평가를 포함한 기타 진단 절차를 진행해야 합니다. 또한 증상을 관리하기 위해 부목을 대고 물리 치료 운동, 조작 및 기타 절차를 수행해야 할 수도 있습니다."
"선생님, 어젯밤 축구를 하다가 무릎을 심하게 다쳤습니다. 상당히 고통스럽고 체중을 실을 수 없습니다. 무엇이 문제일 수 있으며 어떤 검사가 필요하나요?",증상으로 보아 무릎 관절을 다치신 것 같습니다. 손상 정도를 평가하기 위해 일반 엑스레이 또는 자기공명영상(MRI)과 같은 방사선 촬영을 실시해야 합니다. 부상의 정도에 따라 부목을 대거나 물리 치료 운동 또는 기타 치료 절차를 권장해야 할 수도 있습니다. 수술이 필요하지 않을 수도 있으며 근골격계에 대한 다른 비수술적 치료 절차로 충분할 수도 있습니다.
"의사 선생님, 저는 최근에 피로, 체중 증가, 갈증 증가와 같은 비정상적인 증상을 경험하고 있습니다. 대사 장애가 있는 건 아닌지 걱정됩니다.","증상에 따라 몇 가지 의학적 검사를 해보는 것이 좋습니다. 먼저 혈액 검사, 지질 패널, 포도당 측정, 헤모글로빈 A1c 측정부터 실시해야 합니다. 또한 회원님의 상태를 더 자세히 진단하기 위해 완전한 신체 피부 검사, 초음파 검사 및 유방 촬영을 실시해야 합니다. 이러한 검사는 회원님의 상태를 더 잘 이해하고 대사 장애에 대한 효과적인 치료 계획을 결정하는 데 도움이 됩니다."
"안녕하세요 의사 선생님, 질 부위가 불편하고 악취가 나는 분비물이 있습니다. 질염이 있는 것 같아요.","알겠습니다. 질염을 진단하려면 골반 검사와 소변 검사를 실시해야 합니다. 또한 표준 임신 테스트, 클라미디아 검사, 유방 검사, 세균 도말, 배양 및 독성 검사를 포함한 질 분비물의 현미경 검사도 실시해야 합니다. 또한 자궁경부 세포진 검사도 실시해야 합니다."
"의사 선생님, 저는 최근에 실신, 어지러움, 호흡곤란을 경험하고 있습니다. 심박수도 빠른 속도와 느린 속도 사이를 오가는 것 같습니다. 무엇이 문제일까요?","부비동 증후군이 있을 수 있습니다. 진단을 확인하기 위해 필요한 의학적 검사에는 심전도, 초음파 검사, 심장 초음파 검사 및 지질 패널이 포함됩니다. 또한 진단용 심장 도관 삽입술, 관상동맥 조영술, 우울증 선별검사를 실시해야 할 수도 있습니다."
"의사 선생님, 지난 몇 주 동안 귀에서 계속 울리는 소리가 들립니다. 상당히 걱정됩니다. ","알겠습니다. 이명의 원인을 파악하기 위해 몇 가지 검사를 해봐야 합니다. 귀에 대한 안과 및 이과 진단 및 치료를 권장합니다. 또한 자기공명영상(MRI) 검사를 실시해야 합니다. 귀, 코, 입, 목에 대한 다른 진단 절차를 수행하는 것도 도움이 될 것입니다. 또한 필요한 경우 다른 치료적 귀 시술이나 기타 물리 치료 및 재활이 필요할 수도 있습니다. 마지막으로 다른 진단 및 치료 신경계 시술도 필요할 수 있습니다."
"의사 선생님, 눈의 통증과 시야가 흐려지고 있는데 녹내장일지도 모른다는 생각이 듭니다. 진단을 확인하기 위해 어떤 검사를 받아야 하나요?","증상에 따라 안과 검진을 통해 안과 검사와 평가를 실시할 필요가 있습니다. 이는 안과 또는 이과 질환을 진단하고 치료하는 데 도움이 됩니다. 초기 평가 후에는 안구 진단 절차, 녹내장 절차 및 기타 안구 내 치료 절차와 같은 추가 치료 절차가 필요할 수도 있습니다. 또한 질환으로 인한 합병증을 해결하기 위해 수정체 및 백내장 시술과 눈꺼풀, 결막, 각막에 대한 기타 치료 시술이 필요할 수 있습니다."
"의사 선생님, 저는 한동안 섭식 장애를 앓고 있는 것 같습니다. 음식과의 관계가 매우 건강하지 못한 것 같고 정신 건강에도 영향을 미치고 있습니다. 체중과 음식 섭취량에 집착하는 제 자신을 자주 발견하는데 어떻게 멈춰야 할지 모르겠어요.",상태를 평가하기 위해 몇 가지 의학적 검사를 받는 것이 도움이 될 수 있을 것 같습니다. 우선 심리 치료와 정신 건강 상담을 통해 섭식 장애의 원인이 될 수 있는 근본적인 정서적 문제를 해결하는 데 도움이 될 수 있습니다. 또한 우울증 선별검사를 통해 기분 장애를 치료해야 하는지 여부를 판단할 수도 있습니다. 심리 및 정신과적 평가와 치료를 통해 회원님의 정신 건강 상태를 보다 포괄적으로 이해할 수 있습니다. 마지막으로 작업 치료 평가(언어 치료)는 언어 치료와 같은 추가 개입이 도움이 될 수 있는지 판단하는 데 도움이 될 수 있습니다.
"의사 선생님, 어제 갑자기 몸의 오른쪽이 약해지고 마비되는 증상을 경험했습니다. 몇 분 동안 지속되다가 사라졌습니다. 또한 잠시 동안 말을 하는 데 어려움을 겪었습니다. 무슨 일인지 알아낼 수 있도록 도와주시겠어요?","일시적인 허혈성 발작을 경험했을 가능성이 있습니다. 진단을 확인하기 위해 몇 가지 의학적 검사를 시행하고 싶습니다. 먼저 방사선 촬영, 혈액 검사(혈액 검사), 전혈구 수(CBC), X-선 컴퓨터 단층 촬영(스캔 CT), 심전도, 신장 기능 검사(신장 기능 검사), 포도당 측정(혈당 수치)을 통해 무슨 일이 일어나고 있는지 더 잘 파악할 수 있도록 해야 합니다. 이러한 검사를 예약할 수 있나요?"
"안녕하세요, 의사 선생님. 신우신염에 걸린 것 같아요. 허리와 옆구리 통증, 발열, 오한, 빈번한 소변을 경험하고 있습니다. ","증상에 따라 신우신염이 있을 가능성이 있습니다. 진단을 확인하기 위해 몇 가지 의학적 검사를 실시해야 합니다. 소변 검사, 혈액 검사 및 전체 혈구 수 검사부터 시작하겠습니다. 또한 감염을 돕기 위해 정맥 내 수액 보충제를 투여해야 할 수도 있습니다. 또한 신장을 검사하기 위해 방사선 촬영을 하고 신장이 제대로 기능하는지 확인하기 위해 신장 기능 검사 및 포도당 측정을 해야 할 수도 있습니다."
"안녕하세요 의사 선생님, 회전근개 부상을 입은 것 같고 어깨 통증과 뻣뻣함을 경험하고 있습니다. ",증상에 따라 뼈와 관련된 부상을 배제하기 위해 일반 엑스레이와 같은 방사선 촬영을 하는 것이 좋습니다. 또한 부상의 심각성을 평가하기 위해 자기공명영상(MRI)을 실시할 수도 있습니다. 또한 영향을 받은 어깨의 운동성을 강화하고 회복하는 데 도움이 되는 물리 치료 운동을 처방할 수도 있습니다. 경우에 따라 회복 과정을 돕기 위해 근육과 힘줄에 부목 및 기타 치료 절차를 권장할 수도 있습니다.
"의사 선생님, 저는 몇 달 동안 만성 통증을 경험하고 있습니다.","유감입니다. 환자분의 증상에 따라 몇 가지 의학적 검사를 진행해야 합니다. 먼저 통증의 원인을 명확히 파악하기 위해 해당 부위에 대한 자기공명영상(MRI)이 필요합니다. 또한 통증을 유발할 수 있는 기저 질환이 있는지 확인하기 위해 지질 패널 검사를 실시해야 합니다. 마지막으로 통증 완화에 도움이 되는 물리 치료(운동)가 필요합니다. 필요한 경우 척추관 내 카테터 또는 척추 자극기 삽입 및/또는 주사, 기타 치료 절차, 근골격계에 대한 기타 비치료 절차 또는 물리 치료 운동, 조작 및 기타 상태 관리에 도움이 되는 기타 절차를 고려할 수도 있습니다."
"의사 선생님, 저는 최근 임신 중 몇 가지 문제를 겪고 있습니다.",알겠습니다. 가능한 합병증을 진단하기 위해서는 일련의 의학적 검사를 실행해야 합니다. 가장 먼저 해야 할 검사는 소변 검사입니다.
"의사 선생님, 복부에 불편함이 느껴지고 몸의 피부가 노랗게 변하는 것 같습니다. 심각한 질환이 아닐까 걱정됩니다.","좋아, 귀하의 증상과 병력을 바탕으로 간암이 의심되는 것 같습니다. 진단을 확인하기 위해 일련의 의학적 검사를 실시해야 합니다."
"의사 선생님, 지난 며칠 동안 호흡 곤란을 겪고 있습니다. 심호흡을 할 수 없는 것 같고 가슴에 무언가가 눌린 것 같은 느낌이 듭니다.","증상에 따라 폐 조직이 무너지는 무기폐가 있는지 확인하기 위해 방사선 영상 촬영을 실시해야 합니다. 일반 엑스레이(X선), 혈액 검사(혈액 검사), 전혈구 수치(CBC), 엑스레이 컴퓨터 단층 촬영(SCAN CT), 심전도 등 다양한 검사를 실시해야 합니다. 또한 정맥 내 수액 보충제를 투여해야 할 수도 있습니다."
"의사 선생님, 손을 다쳐서 정말 아파요. 어떤 검사를 권해주시겠어요?",부상에 대한 설명을 바탕으로 손상 정도를 파악하기 위해 일반 엑스레이라고도 하는 방사선 촬영 절차를 권장합니다. 결과에 따라 부목을 대거나 상처를 봉합해야 할 수도 있습니다. 또한 상처 관리가 필요하며 회복을 돕기 위해 물리 치료 운동을 권장할 수도 있습니다. 또한 언어 치료가 필요한지 여부를 결정하기 위해 작업 치료 평가가 필요할 수 있습니다.
"의사 선생님, 저는 메스꺼움과 구토와 함께 오른쪽 윗배와 등에 심한 통증을 겪고 있습니다. 의사는 제가 담석증에 걸린 것 같다고 의심하고 있습니다. 진단을 확인하기 위해 어떤 의학적 검사를 받아야 하나요?","담석증 진단을 확인하는 데 필요한 의학적 검사에는 혈액 검사, 완전 혈구 수 (Cbc), 방사선 촬영 절차, 정맥 내 수액 보충, 신장 기능 검사 (신장 기능 검사), 전해질 패널 및 포도당 측정 (포도당 수준)이 포함됩니다."
"안녕하세요 의사 선생님, 어제 달리다가 엉덩이를 다친 것 같아요. 많이 아파서 움직이기 힘들어요.",유감입니다. 증상에 따라 일반 엑스레이 또는 엑스레이 컴퓨터 단층 촬영과 같은 방사선 촬영 절차를 권장합니다. 이를 통해 고관절 손상을 명확하게 파악할 수 있습니다. 또한 필요한 경우 신장 기능 검사 및 정맥 내 수액 보충을 할 수도 있습니다. 이 부상에는 머리의 컴퓨터 단층 촬영이 필요하지 않지만 고관절을 안정시키고 통증을 완화하기 위해 부목을 적용할 수 있습니다.
"선생님, 저는 최근에 매우 피곤하고 복부가 부어 오르고 압통이 느껴집니다. 눈에도 황달이 있습니다. 간 문제일 수 있나요?","증상으로 보아 간 질환인 간경변이 있을 가능성이 있습니다. 진단을 확인하기 위해 혈액 검사, 전혈구 수, 혈당 측정, 전해질 패널, 지질 패널, 간 기능 검사, 헤모글로빈 A1c 측정 등 다양한 의료 검사를 시행해야 합니다."
"의사 선생님, 흉부 대동맥류가 있는 것 같은데 어떤 검사를 해야 하는지 알려주시겠어요?","흉부 대동맥류 진단을 위해 심전도와 함께 방사선 영상 촬영 절차를 거쳐야 합니다. 또한 혈액 검사, 전체 혈구 수, X-선 컴퓨터 단층 촬영, 포도당 수치를 확인하기위한 포도당 측정 및 신장 기능을 확인하기위한 신장 기능 검사도 수행해야합니다."
"안녕하세요, 최근 극심한 두통을 겪고 있는데 심각한 질환이 아닌지 걱정됩니다.",유감입니다. 증상에 따라 몇 가지 검사를 진행해야 합니다. 뇌에 이상이 있는지 확인하기 위해 방사선 촬영을 실시할 것입니다.
"의사 선생님, 저는 선천성 풍진 진단을 받았습니다. 어떤 의학적 검사를 받아야 하나요?",각막 이식을 받아야 합니다.
"의사 선생님, 저는 최근에 당뇨망막병증 진단을 받았는데 어떤 검사를 받아야 하나요?","당뇨병성 망막병증의 경우 안과 검사 및 평가, 헤모글로빈 A1c 측정, 안과 및 이과 진단 및 치료를 받아야 합니다. 또한 개별 사례에 따라 눈꺼풀, 결막, 각막, 망막 파열, 박리, 기타 안구 근육 및 궤도 치료 시술, 기타 안구 내 치료 시술이 필요할 수도 있습니다."
"의사 선생님, 저는 몇 달 동안 심한 근육통, 피로, 수면 장애를 겪고 있습니다. 조사를 해보니 섬유근육통이 있는 것 같은데 확인을 도와주실 수 있나요?","이러한 증상을 경험하셨다니 유감입니다. 말씀하신 내용을 바탕으로 섬유 근육통이 있을 가능성이 있습니다. 진단을 확정하기 위해서는 여러 가지 의학적 검사를 실시해야 합니다. 여기에는 물리 치료 운동, 자기공명영상(MRI), 기타 치료 절차, 유방 촬영(유방 조영술), 우울증 선별 검사, 기타 물리 치료 및 재활, 골밀도 검사 등이 포함됩니다. 이러한 검사를 통해 증상의 근본적인 원인을 파악하고 상태를 관리하기 위한 효과적인 치료 계획을 수립하는 데 도움이 됩니다."
"의사 선생님, 복통이 있는데 장과 관련된 것 같아요. 도와주실 수 있나요?","장의 허혈이 있을 수 있습니다. 진단을 확인하려면 몇 가지 의학적 검사를 수행해야 합니다. 완전한 혈구 수, 신장 기능을 확인하기 위한 혈액 검사, 포도당 수치 검사, 전해질 패널, 방사선 영상 촬영 및 CT 스캔을 실시해야 합니다."
"의사 선생님, 제 아이에게 태아 알코올 증후군이 있는 것 같아요. 이를 확인하려면 어떤 검사가 필요하나요?","귀하와 귀하의 자녀 모두에게 정신 건강 상담을 권장합니다. 또한 안과 및 이비인후과 진단 및 치료가 필요합니다. 또한 헤모글로빈 A1c 측정 검사를 실시할 수도 있습니다. 그러나 각막 이식, 비장 시술 또는 자궁외 임신 제거, 기관 절개술은 다른 질환에 대한 치료이므로 태아 알코올 증후군 진단에 필요하지 않을 수 있다는 점을 유의하세요."
"의사 선생님, 지난 며칠 동안 열과 함께 복통이 느껴졌습니다. 복막염이 아닐까 걱정됩니다.","유감입니다. 복막염 여부를 확인하기 위해 혈액 검사, 방사선 촬영, 전혈구 검사(CBC), 수액 보충, X-선 컴퓨터 단층 촬영(CT 검사), 신장 기능 검사, 포도당 수치를 확인하기 위한 혈당 측정 등 여러 가지 의학적 검사를 시행해야 합니다."
"의사 선생님, 복부에 날카로운 통증이 있습니다. 다친 것 같아요.","좋아요, 통증의 원인을 파악하기 위해 몇 가지 검사를 해야 합니다. 먼저 방사선 촬영을 해야 합니다. 또한 전혈구 수(CBC)와 혈액학 검사를 포함한 몇 가지 혈액 검사를 실시해야 합니다. 또한 부상을 더 잘 보기 위해 스캔 CT를 해야 할 수도 있습니다. 소변 검사와 신장 기능 검사도 실시합니다. 결과에 따라 정맥 내 수액 보충이 필요할 수도 있습니다."
"의사 선생님, 저는 메스꺼움과 구토와 함께 복부에 심한 통증을 겪고 있습니다. 또한 음식물 소화에도 문제가 있습니다. ","증상으로 보아 급성 췌장염이 있는 것 같습니다. 이를 확인하기 위해 일련의 의료 검사를 실시해야 합니다. 췌장염의 정도를 확인하기 위해 혈액 검사와 전혈구 수(CBC) 검사, 방사선 촬영 절차부터 시작할 것입니다. 또한 정맥 내 수액 보충과 신장 기능 검사 및 포도당 수치 측정이 필요할 수도 있습니다. 또한 신장 손상 여부를 확인하기 위해 소변 검사도 필요합니다."
"의사 선생님, 다리에 통증, 부기, 발적 증상이 있습니다. 의사는 혈전 정맥염일 수 있다고 의심했습니다. 어떤 의료 검사를 받아야 하나요?",혈전 정맥염의 경우 혈전을 확인하기 위해 초음파 촬영과 방사선 촬영을 실시해야 합니다. 또한 프로트롬빈 시간 분석을 통해 프로트롬빈 시간을 확인해야 합니다. 또한 다리의 움직임을 회복하기 위해 상처 관리와 물리 치료가 필요합니다. 경우에 따라 혈관에 다른 시술이 필요할 수도 있습니다.
"의사 선생님, 저는 최근에 숨이 차고 쌕쌕거림과 기침을 경험하고 있습니다. 천식이 있는 것 같아요.","천식을 진단하기 위해서는 일반 엑스레이(X선), 동맥혈 가스(ABG), 네블라이저 치료, 기타 진단 절차(면담, 평가, 상담), 인플루엔자 바이러스 항체 분석, 기타 호흡기 치료, 피부 및 피하 조직에 대한 기타 진단 절차 등의 의료 검사를 실시해야 합니다."
"의사 선생님, 질에 이물질이 끼어 있는 것 같아요.","좋아, 이물질을 제거하기 위해서는 비수술적 방법으로 이물질을 제거해야 합니다. 제거를 진행하기 전에 골반 검사를 실시하여 이물질의 정확한 위치를 확인해야 합니다. 또한 임신 합병증을 배제하기 위해 표준 임신 테스트를 실시하는 것도 중요합니다. 언급하신 다른 의학적 검사는 이 경우와 관련이 없습니다."
"의사 선생님, 저는 다리가 따끔거리고 불편한 감각이 있어서 밤에 계속 깨어 있어요. 그것 때문에 잠을 잘 수 없습니다.","알겠습니다. 하지 불안 증후군이 있으신 것 같습니다. 진단을 확인하기 위해 몇 가지 검사를 예약해야 합니다. 먼저 면담과 평가로 시작하여 지질 패널 검사와 헤모글로빈 A1c 검사를 실시할 것입니다. 또한 발을 검사하고 우울증 선별검사를 실시해야 할 수도 있습니다. 또한 눈꺼풀, 결막 또는 각막에 자기공명영상(MRI) 또는 기타 치료 절차가 필요할 수도 있습니다."
"선생님, 저는 최근에 숨이 차고 가래를 토하고 있습니다. 폐기종인 것 같습니다.",알겠습니다. 이를 확인하기 위해 먼저 방사선 촬영 절차를 권장합니다. 여기에는 폐를 평가하기 위한 일반 엑스레이 또는 엑스레이 컴퓨터 단층 촬영(Scan ct)이 포함됩니다. 또한 감염 여부를 확인하기 위해 전혈구 수와 혈액 검사 등 몇 가지 혈액 검사를 실시해야 합니다. 마지막으로 신장 기능 검사를 통해 신장을 확인하고 필요한 경우 정맥 내 수액 보충을 고려할 수도 있습니다.
"안녕하세요 의사 선생님, 지난 몇 주 동안 두통, 발작, 식욕 부진을 경험했습니다. 조사를 해보니 낭포성 낭포증이 있는 것 같습니다. ","진단을 확인하려면 몇 가지 검사를 수행해야 합니다. 진단을 확인하기 위해 방사선 촬영, 전체 혈구 수치를 포함한 혈액 검사, 포도당 수치 측정, 머리의 CT 스캔 또는 MRI가 필요할 수 있습니다."
"의사 선생님, 저는 최근에 유도 낙태를 받았는데 몸이 많이 약해지고 통증이 있습니다.","유감입니다. 몸이 잘 회복되고 있는지 확인하기 위해 몇 가지 검사를 진행해야 합니다. 혈액 검사, 전체 혈구 수, 소변 검사, 표준 임신 테스트를 받으셔야 합니다."
"의사 선생님, 제 아기가 요즘 매우 까다롭고 짜증을 많이 냅니다. 이가 나는 증후군을 겪고 있는 것 같아요.","좋아, 진단을 확인하기 위해 완전한 신체 피부 검사 및 기타 진단 절차를 수행해야 할 것 같습니다."
"의사 선생님, 저는 심한 복통, 메스꺼움, 구토, 설사 증상을 겪고 있습니다. 감염성 위장염이 아닐까 걱정됩니다.","알겠습니다. 이 경우 진단을 확인하고 근본적인 원인을 파악하기 위해 몇 가지 의학적 검사를 실행해야 합니다. 전혈구 수(CBC), 신장 기능 검사, 혈당 측정, 전해질 패널 및 소변 검사를 실시할 것입니다. 또한 탈수를 예방하기 위해 정맥 내 수액 보충이 필요할 수 있습니다."
"선생님, 저는 지난 며칠 동안 심한 두통과 코 막힘을 겪었습니다. 또한 열이 나고 얼굴이 매우 부드러워졌습니다. 급성 부비동염인 것 같습니다.","좋아, 증상에 따라 진단을 확인하기 위해 몇 가지 진단 절차를 수행해야 합니다. 다른 질환을 배제하기 위해 머리의 CAT 스캔과 인플루엔자 바이러스 항체 분석이 필요할 수 있습니다. 또한 증상을 개선하기 위해 추가적인 평가가 필요하고 다른 호흡기 치료나 물리 치료를 고려해야 할 수도 있습니다."
"의사 선생님, 저는 폰 히펠-린다우 병과 관련된 증상을 경험하고 있습니다.","알겠습니다. 이 경우 몇 가지 의학적 검사를 통해 확인해야 합니다. 구체적으로 자기공명영상(MRI) 스캔, 완전한 신체 피부 검사(ML), S상 결장경 또는 대장 내시경 검사로 시작해야 합니다. 또한 중추신경계 절개 및 절제, 진단 요추천자(척수 천자), 피부 병변 절제와 같은 좀 더 침습적인 검사를 시행해야 할 수도 있습니다. 마지막으로 작업 치료 평가(언어 치료)도 실시할 수 있습니다."
"의사 선생님, 저는 알코올 중독으로 인해 불안과 우울증을 경험하고 있습니다. 제 상태를 진단하기 위해 어떤 검사를 받아야 하나요? ","우선, 혈액에 이상이 있는지 확인하기 위해 전혈구 수(CBC)와 몇 가지 혈액학 검사를 실시해야 합니다. 또한 신장 기능을 확인하기 위해 소변 검사를 하고 포도당 수치를 측정해야 합니다. 또한 심전도(EKG)를 실시하여 심장이 어떻게 기능하는지 확인합니다. 마지막으로, 중독으로 인해 손실되었을 수 있는 체내 수분을 보충하고 필수 영양소를 보충하기 위해 정맥 내 수액 보충을 실시해야 할 수도 있습니다."
"의사 선생님, 저는 아기를 출산한 후 매우 우울하고 슬픈 기분이 들어요. 몇 주가 지났는데도 그 기분을 떨쳐버릴 수가 없어요. ",유감입니다. 설명하신 증상을 바탕으로 산후 우울증이 있는지 알아보기 위해 우울증 검사를 받아보시는 것이 좋습니다. 또한 골반 검사와 소변 검사를 통해 신체 건강 상태가 양호한지 확인해야 할 수도 있습니다. 수유에 문제가 없는지 유방을 검사하는 것도 중요합니다. 정신 건강 상담도 산후 우울증의 정서적 어려움에 대처하는 데 도움이 될 수 있습니다. 또한 초음파 검사를 통해 신체 건강을 확인하고 성병의 가능성을 배제하기 위해 클라미디아 검사를 실시하는 것이 가장 좋습니다.
