,subject,year,period,q_number,question,A,B,C,D,E,answer,cot
24,doctor,2012,1,25,"임신 15주인 24세 초산녀가 산전 검진을 위해 병원에 왔다. 매독혈청검사(VDRL) 에서 양성
(항체역가, 1:32) 이었다. 매독균혈구응집검사(TPHA) 는 양성, 뇌척수액검사는 정상이었다. 치료는?",암피실린(ampicillin),겐타마이신(gentamicin),술폰아미드(sulfonamide),메트로니다졸(metronidazole),벤자틴페니실린 G (benzathine penicillin G),E,
25,doctor,2012,1,26,"28세 남자가 수혈을 받기 시작한 30분 후 가슴과 배에 두드러기가 발생하였다. 숨이 차지는
않았다. 혈압 120/76 mmHg, 맥박 72회/분, 호흡 16회/분, 체온 37.7℃이었다. 치료제는?",항생제,에피네프린,0.9% 식염수,항히스타민제,비스테로이드소염제,D,
26,doctor,2012,1,27,"47세 여자가 쓸개고름집(empyema) 으로 복강경 쓸개절제술을 받고 당일 저녁에 오심, 구토 및
오른쪽 어깨 통증을 호소하였다. 혈압 125/80 mmHg, 맥박 85회/분, 호흡 18회/분, 체온
37.2℃이었다. 오른쪽 상복부의 경미한 압통이 관찰되었으나 반동압통은 없었다. 혈액검사 결과는
다음과 같다. 적절한 조치는?
혈색소 12.8 g/dL, 백혈구 8,550/mm^3, 혈소판 194,000/mm^3,
총단백 6.2 g/dL, 알부민 4.0 g/dL, 총 빌리루빈 1.2 mg/dL, 
알칼리 인산분해효소(ALP) 85 U/L,
아스파르테이트 아미노전달효소(AST) 40 U/L, 알라닌 아미노전달효소(ALT) 42 U/L ",경과 관찰,위내시경 검사,내시경역행쓸개이자조영술(ERCP),응급 복강경수술,응급 개복술,A,
27,doctor,2012,1,28,"18개월 남아가 예방접종을 받기 위하여 병원에 왔다. 접종력은 다음과 같다. 접종해야 하는 것은?
BCG 1회, B형간염 3회, 개량디티피(DTaP) 3회, 폴리오 3회, 수두 1회,
홍역 볼거리 풍진 혼합백신(MMR) 1회",수두,폴리오,B형 간염,개량디티피(DTaP),홍역 볼거리 풍진 혼합백신(MMR),D,
28,doctor,2012,1,29,"한 지역사회의 흡연자 10,000명과 비흡연자 2,000명을 20년간 추적한 결과, 흡연자에서 400명,
비흡연자에서 20명의 암환자가 발생하였다. 이 지역사회 인구의 암 발생에 대한 흡연의 비교위험도는?
(단, 이 기간 중 인구이동과 사망자는 없었다.) ",1,2,3,4,5,D,
29,doctor,2012,1,31,우리나라에서 발견되는 진폐증의 합병증으로 발생 빈도가 가장 높은 것은?,폐암(lung cancer),폐공기증(emphysema),폐심장증(cor pulmonale),공기가슴증(pneumothorax),폐결핵(pulmonary tuberculosis),E,
30,doctor,2012,1,33,대기오염 물질에서 대기 중 오존의 전구물질은?,미세 먼지,아황산가스,이산화질소,일산화탄소,"퍼옥시아세틸 나이트레이트(PAN, peroxyacetyl nitrate)",C,
31,doctor,2012,1,34,임상시험에서 눈가림법(blind method) 을 채택하는 목적은?,비교성 향상,교란변수 통제,선택 바이어스 감소,지침 순응도(compliance) 향상,주관적 요소가 강한 평가항목의 영향 통제,E,
32,doctor,2012,1,35,"48세 남자가 호흡곤란과 마른기침으로 병원에 왔다. 환자는 18세부터 27세까지 선박 건조 및
수리 사업장에서 배관공으로 일하였으며, 28세 이후 현재까지 식당을 운영하고 있다. 결핵 등
다른 질병의 과거력은 없었고 흡연력도 없었다. 가슴 X선사진에서 가슴막 비후가 관찰되었다.
추정되는 원인물질은?",납,규소,석면,카드뮴,크롬,C,
33,doctor,2012,1,36,"성층권을 날고 있는 여객기에서 문이 떨어져 나가는 사고가 발생한 경우에 유효의식시간(TUC,
time of useful consciousness) 을 결정하는 요인은?",가속도,기압,기온,산소분압,우주선 조사량,D,
34,doctor,2012,1,37,"임신 중 약물복용과 선천성 심장기형 발생에 대한 환자-대조군 연구를 시행한 결과, 예상과는
다르게 교차비(odds ratio) 가 0.6으로 나타났다. 이 결과를 해석할 때 고려해야 할 바이어스는?",선택 바이어스,정보 바이어스,교란 바이어스,선택적 생존 바이어스,버크슨(Berkson's) 바이어스,B,
35,doctor,2012,1,38,"존 스노우(John Snow) 는 1849∼1854년에 걸쳐 런던에서 유행하였던 콜레라의 원인에 대한
가설을 수립하고 이를 검증하였다. 여기에서 가장 중요하게 이용된 기술역학의 요소는?",사람(who),시간(when),장소(where),연구재료(what),연구방법(how),C,
36,doctor,2012,1,39,전리방사선에 노출되는 근로자에게서 확률효과(stochastic effect) 로 발생하는 업무관련성 질병은?,갑상샘염,모세혈관확장증,백내장,백혈병,폐섬유화증,D,
37,doctor,2012,1,40,톨루엔 노출수준을 평가하기 위하여 사용하는 생체내 대사산물은?,마뇨산,만델산,메틸마뇨산,뮤콘산,페놀,A,
38,doctor,2012,1,41,"셀로판 제조 공장에서 15년간 근무한 근로자에게 두통과 현기증, 피로, 죽상동맥경화증, 말초신경장애,
망막병증 및 시야협착 등 다양한 증상이 나타났다. 원인 물질은?",노르말헥산,망간,벤젠,유기수은,이황화탄소,E,
39,doctor,2012,1,42,"어떤 질병에 대한 새로운 치료법은 사망률은 낮추지만, 회복률에는 영향을 미치지 않는 것으로
나타났다. 이 치료법에 의한 이환지표의 변화로서 옳은 것은?",발생률 감소,발생률 증가,유병률 감소,유병률 증가,유병률과 발생률 감소,D,
40,doctor,2012,1,43,역학연구에서 신뢰도와 타당도에 대한 설명으로 적절한 것은?,타당도는 참값의 반복정도와 관련이 있다.,관찰자 간의 일치율이 높으면 신뢰도가 높다.,계통오차(systematic error) 가 크면 신뢰도가 낮다.,무작위오차(random error) 는 타당도와 관련이 있다.,치료효과 평가에는 신뢰도보다 타당도가 더 중요하다.,B,
41,doctor,2012,1,44,"“현미섭취가 관상동맥질환 예방에 효과가 있다”는 것을 검증하기 위하여 코호트 연구를 실시하였다.
연구결과 현미섭취군에서 비섭취군에 비해 관상동맥질환 발생률이 낮게 나타났다. 또한 혈압은
관상동맥질환과는 양의 상관관계, 현미섭취와는 음의 상관관계가 있는 것으로 나타났다. 연구자가
혈압의 영향은 보정하지 않은 채 “현미섭취가 관상동맥질환 발생에 예방효과가 있다”고 결론을
낼 경우 발생하는 오류는?",선택 바이어스,정보 바이어스,교란 바이어스,생태학적 오류,호손(Hawthorne) 효과,C,
42,doctor,2012,1,45,카드뮴 중독을 확인하기 위한 생물학적 표지자는?,소변 디메틸아르신산(dimethylarsenic acid),소변 코프로포르피린(coproporphyrin),소변 β2 마이크로글로불린(microglobulin),혈액 내 아미노레불린산 탈수효소(aminolevulinate dehydratase),혈액 내 아연프로토포르피린(zinc protoporphyrin),C,
43,doctor,2012,1,46,최근 10년 동안 우리나라 산업재해 발생 현황으로 옳은 것은?,5∼10년 경력자에서 가장 높다.,도수율과 강도율은 증가하고 있다.,사업장의 규모가 작을수록 높다.,서비스업에서 가장 높다.,손상은 몸통에서 가장 높다.,C,
44,doctor,2012,1,47,"52세 남자가 자살을 목적으로 농약을 마신 후 응급실에 실려 왔다. 환자는 저산소증이 진행하여
2일 후에 사망하였다. 부검 결과 폐섬유화가 확인되었다. 사망 기전은?",산소 자유라디칼(oxygen free radical) 생성에 의한 장해,신경세포에서 양이온 급속흐름(cation flux) 의 방해,아세틸콜린에스테라아제의 가역적 억제,아세틸콜린에스테라아제의 비가역적 억제,DNA 부가물(adducts) 생성에 의한 발암성,A,
45,doctor,2012,1,48,"잔칫집에 다녀온 사람들에게서 식중독으로 의심되는 환자가 12명 발생하여 역학조사를 하였다.
환자들은 심한 구토와 설사를 하였고 고열이나 발진은 없었으며 음식 섭취 4시간 후부터 증상이
나타났다. 의심되는 원인은?",보툴리누스,살모넬라,장염 비브리오,클로스트리듐,황색포도알균,E,
46,doctor,2012,1,49,2010년 현재 우리나라 40대 이상 연령층의 가장 높은 사망원인은?,자살,당뇨병,심장질환,운수사고,악성 신생물,E,
47,doctor,2012,1,51,식품매개감염병 관리에서 가장 효과적인 방법은?,예방접종,병원소 제거,환자 조기발견,전파과정 차단,예방적 항생제 투여,D,
48,doctor,2012,1,52,사망률의 연령보정 표준화 방법 중 직접법에 해당하는 내용은?,표준화사망비 산출,표준인구의 인구구성을 이용,표준인구의 연령별 특수사망률 이용,연령별 특수사망률을 알지 못하는 경우,적은 인구규모로 인해 연령별 특수사망률을 구할 수 없는 경우,B,
49,doctor,2012,1,53,"진료비 지불방법 중 지불단위가 가장 크고, 향후 발생할 수 있는 환자 수의 변동과 같은 모든
위험을 의료제공자가 감수해야 하는 것은?",인두제,일당수가제,총액예산제,행위별수가제,질병군별포괄수가제,C,
50,doctor,2012,1,54,우리나라에서 효과적인 국민의료비 관리방안은?,급성 병상수 확대,건강보험 급여 확대,진료비에 대한 본인부담 축소,노인인구 증가에 대한 장기요양서비스 제공,포괄수가제보다는 행위별수가제를 유지 발전시킴,D,
51,doctor,2012,1,55,개인의 의료이용을 설명하는 변수 중 가장 중요한 것은?,경제적 요인,문화적 요인,사회적 요인,의료필요 요인,인구학적 요인,D,
52,doctor,2012,1,56,태아 사망과 생후 1주 이내의 신생아 사망을 함께 파악하려는 모자보건지표는?,영아사망률,모성사망비,주산기사망률,신생아사망률,후기신생아사망률,C,
53,doctor,2012,1,57,우리나라에서 이차 의료를 담당하고 있는 공공보건의료기관은?,보건소,보건지소,보건진료소,보건의료원,국립암센터,D,
54,doctor,2012,1,58,우리나라의 주요 보건의료정책 중 일차보건의료(primary health care) 와 가장 관련이 깊은 것은?,의료보험 실시,의료전달체계 시행,농어촌 보건의료를 위한 특별조치법 제정,정신보건법 제정,의약분업 실시,C,
55,doctor,2012,1,59,각 병원에서 경쟁적으로 고가 의료장비를 설치할 때 보건의료자원의 평가 요소 중 감소하는 것은?,양적 공급,질적 수준,분포,효율성,적합성,D,
56,doctor,2012,1,60,"자유기업형, 복지지향형 등과 같이 한 국가의 보건의료체계의 성격을 규정하는데 가장 중요한
것은?",조직화의 방식,정부의 개입 정도,의료자원의 개발 정도,의료서비스 제공 수준,관리방식의 다양화 정도,B,
57,doctor,2012,2,1,"52세 남자가 한쪽 눈을 감고 보면 괜찮으나 두 눈으로 보면 물체가 겹쳐 보여 병원에 왔다. 11년
전부터 당뇨병으로 경구혈당강하제를 복용하고 있었다. 오른쪽 눈은 정면을 보려 해도 안구가 오른쪽
아래로 향하였으며 눈꺼풀이 처져 있었다. 동공크기는 양쪽이 같았고 동공반사는 정상이었다.
마비된 신경은?",눈돌림신경(oculomotor nerve),도르래신경(trochlear nerve),삼차신경(trigeminal nerve),갓돌림신경(abducens nerve),얼굴신경(facial nerve),A,
58,doctor,2012,2,3,"14세 여아가 친구와 다툰 후에 갑자기 숨이 차서 병원에 왔다. 맥박 100회/분, 호흡 52회/분,
체온 36.5℃이었다. 가슴청진에서 거품소리나 쌕쌕거림은 들리지 않았다. 가슴 X선사진은 정상
이었다. 동맥혈가스분석 결과는 다음과 같다. 산-염기 평형 장애는?
pH 7.5, PaCO2 28 mmHg, PaO2 100 mmHg, HCO3- 20 meq/L  
",정상,대사산증,대사알칼리증,호흡산증,호흡알칼리증,E,
59,doctor,2012,2,4,임신 36주인 26세 임신부가 바로 누워서 초음파검사를 받던 중 어지러움을 느꼈다. 적절한 처치는?,항히스타민제 투여,벤조디아제핀 투여,0.9% 식염수 투여,정맥내 철분제 투여,옆누운자세로 변경,E,
60,doctor,2012,2,8,해산물을 날것으로 섭취할 때 감염될 수 있는 병원체는?,리스테리아,황색포도알균,장염비브리오균,바실루스세레우스,클로스트리듐보툴리눔,C,
61,doctor,2012,2,9,"78세 여자가 계단을 내려가다 넘어져 오른쪽 넙다리뼈에 골절을 당했다. 골절된 뼈를 고정하는
수술을 받은 지 8일 만에 폐동맥혈전색전증으로 사망하였다. 사망진단서에 기입할 사망의 종류는?",병사,사고사,외인사,자연사,기타 및 불상,C,
62,doctor,2012,2,10,"25세 남자가 2개월 전부터 다리가 부어 병원에 왔다. 체중이 6 kg 늘었다. 혈압 130/90 mmHg,
맥박 70회/분, 호흡 18회/분, 체온 36.4℃이었다. 폐와 심장 청진은 정상이었다. 혈액과 소변검사
결과는 다음과 같다. 부종의 원인은?
혈액 : 혈색소 12.0 g/dL, 알부민 2.0 g/dL, 크레아티닌 1.2 mg/dL, 
소변 : 포도당(-), 단백질(4+) ",혈관내정수압(intravascular hydrostatic pressure) 상승,사이질정수압(interstitial hydrostatic pressure) 감소,혈관내삼투압(intravascular oncotic pressure) 감소,사이질삼투압(interstitial oncotic pressure) 상승,모세혈관 투과성 증가,C,
63,doctor,2012,2,12,"67세 남자가 하루 전부터 배가 아파 병원에 왔다. 통증은 배꼽 주위로 넓고 둔하게 지속되었다.
혈압 130/82 mmHg, 맥박 94회/분, 호흡 14회/분, 체온 37.5℃이었다. 복부에 가벼운 압통과
이동둔탁음(shifting dullness) 이 관찰되었다. 혈액검사 결과는 다음과 같다. 다음 검사는?
혈색소 10.7 g/dL, 백혈구 12,000/mm^3, 혈소판 90,000/mm^3 
아스파르테이트 아미노전달효소(AST) 122 U/L, 알라닌 아미노전달효소(ALT) 58 U/L,
단백질 6.0 g/dL, 알부민 2.1 g/dL",골수검사,복막천자,대장내시경,소장조영술,대변잠혈검사,B,
64,doctor,2012,2,13,"45세 여자가 다리가 아파서 병원에 왔다. 3년 전부터 오래 걷거나 서있으면 통증이 나타났다.
증상은 오전보다 오후에 더 심하였다. 정강뼈앞 오목부종이 있었으며, 발목 부근 피부에 갈색 색소
침착이 있었고, 종아리에서 늘어나고 구부러진 정맥들이 관찰되었다. 진단은?",구획증후군,림프부종,만성 정맥부전,깊은 정맥혈전증,죽경화증,C,
65,doctor,2012,2,14,"35세 남자가 치핵 수술을 위해 입원하였다. 과거력에 특이 병력은 없었으며 복부 진찰 소견은
정상이었다. 검사 소견이다. 진단은?
알부민 4.5 g/dL, 총빌리루빈 2.8 mg/dL,  직접빌리루빈 0.5 mg/dL, 
알칼리 인산분해효소(ALP) 80 U/L,
아스파르테이트 아미노전달효소(AST) 30 U/L, 알라닌 아미노전달효소(ALT) 25 U/L,
프로트롬빈시간 14.3초 (참고치, 12.7~15.4) ",쓸개돌,간경화증,간흡충증,만성이자염,길버트(Gilbert) 증후군,E,
66,doctor,2012,2,15,"45세 여자가 갑자기 발생한 오른쪽 옆구리 통증으로 병원에 왔다. 혈압 130/90 mmHg, 맥박
85회/분, 체온 36.5℃이었다. 1주 전 거대 자궁근종으로 복강경자궁절제술을 받았고 수술 중
심한 골반내 유착이 관찰되었다. 수술 중 손상 받았을 가능성이 가장 큰 부위는?",방광(bladder),요관(ureter),작은창자(small intestine),오름잘록창자(ascending colon),직장(rectum),B,
67,doctor,2012,2,16,"56세 여자가 자궁경부질세포진검사(Pap test) 에서 고등급편평상피내병터(HSIL, high grade squamous
intraepithelial lesion) 로 병원에 왔다. 6개월 전 검사결과는 다음과 같았다. 적절한 처치는?
자궁경부질세포진검사 : 고등급편평상피내병터
사람유두종바이러스(HPV) 검사 : 16번 양성
질확대경검사(colposcopy) : 전체 변형대가 잘 관찰됨
조준 생검결과 : 만성 자궁경부염",6개월 후 자궁경부질세포진검사,사람유두종바이러스검사,골반초음파검사,자궁내막생검,원뿔절제술,E,
68,doctor,2012,2,17,"50세 여자가 자궁근종으로 자궁절제술을 시행 받던 중 방광벽에 열상이 생겨 봉합술을 받고
폴리도뇨관을 삽입하였다. 1주일 후 소변 누출(leakage) 이 없는지 확인하고자 한다. 검사는?",복강경검사,방광조영술,요역동학검사,초음파잔뇨측정,복부컴퓨터단층촬영,B,
69,doctor,2012,2,18,"22세 남자가 정신 혼미와 전신 쇠약 때문에 병원에 왔다. 이 사람은 4년 전부터 알 수 없는 물질을
남용하였다고 하였다. 신경심리검사에서 기억력과 작업수행능력이 감소하였으며, 혈액검사에서
빈혈소견을 보였다. 남용 가능성이 높은 물질은?",본드,대마초,코카인,헤로인,엑스터시,A,
70,doctor,2012,2,20,"69세 남자가 갑자기 생긴 오른쪽 다리통증으로 왔다. 2년 전 승모판막치환술을 받았고 항응고제를
복용 중이다. 오른쪽 다리는 차갑고 발톱 청색증이 있었다. 오른쪽 다리를 들어 올리면 창백하게
변하면서 통증이 심해졌다. 오른쪽 오금동맥, 발등동맥, 뒤정강동맥 맥박은 만져지지 않았다.
진단은?",요추 척추관협착증,급성 요추간판탈출,급성 혈전색전증,급성 심부정맥혈전증,폐쇄혈전혈관염(thromboangiitis obliterans),C,
71,doctor,2012,2,22,"28세 미분만부가 소변임신반응검사에서 양성으로 나와 처음으로 병원에 왔다. 초음파검사에서
태아는 임신 8주 크기였고 태아심장박동은 정상이었다. 정상 체형으로 다른 내과적 질환과 특이한
가족력은 없었다. 이 시기에 해야 할 검사는?",양수검사,풍진항체검사,50 g 경구 포도당부하검사,알파태아단백질검사,질분비물 B군 사슬알균 배양검사,B,
